file1,"cod_event_in;id_volcan;est;componente;id_evento_macro;cod_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descripcion;label_event;amplitud;coda;frecuencia
53;99;FRE;Z;20171212_015850.063 ;FREZ12-12-2017_01:58:38.978;1;2021-07-04 23:27:24.492 ;4Testing;2017-12-12T01:58:50.063Z;2017-12-12T01:59:01.844Z;0;0;0;-1.34;c;0002-07-21T00:00:00Z;sin comentario;1;47.167;12-12-2017 1:59;1
54;99;SHG;Z;20171212_015941.967 ;SHGZ12-12-2017_01:58:59.878;1;2021-07-04 23:27:24.492 ;4Testing;2017-12-12T01:59:41.967Z;2017-12-12T01:58:58.571Z;0;0;0;-2541;c;0002-07-21T00:00:00Z;sin comentario;1;24.119;12-12-2017 1:59;1
55;99;FRE;Z;20171212_015941.967 ;FREZ12-12-2017_01:59:38.907;1;2021-07-04 23:27:24.493 ;4Testing;2017-12-12T01:59:43.262Z;2017-12-12T01:59:45.532Z;0;0;0;-0.067593;c;0002-07-21T00:00:00Z;sin comentario;1;55.534;12-12-2017 2:00;1
56;99;SHG;Z;20171212_020024.895 ;SHGZ12-12-2017_01:59:57.237;1;2021-07-04 23:27:24.494 ;4Testing;2017-12-12T02:00:24.895Z;2017-12-12T01:59:58.361Z;0;0;0;-0.86039;c;0002-07-21T00:00:00Z;sin comentario;1;2.13;12-12-2017 2:00;1
57;99;SHG;Z;20171212_020024.895 ;SHGZ12-12-2017_01:59:40.477;1;2021-07-04 23:27:24.495 ;4Testing;2017-12-12T02:00:24.898Z;2017-12-12T01:59:40.201Z;0;0;0;-0.41361;c;0002-07-21T00:00:00Z;sin comentario;1;21.396;12-12-2017 1:59;1
58;99;FU2;Z;20171212_020128.646 ;FU2Z12-12-2017_02:01:00.346;1;2021-07-04 23:27:24.496 ;4Testing;2017-12-12T02:01:28.646Z;2017-12-12T02:01:30.656Z;0;0;0;-128702;c;0002-07-21T00:00:00Z;sin comentario;1;24.327;12-12-2017 2:01;1
59;99;FU2;Z;20171212_020200.014 ;FU2Z12-12-2017_02:01:40.235;1;2021-07-04 23:27:24.497 ;4Testing;2017-12-12T02:02:00.014Z;2017-12-12T02:01:40.501Z;0;0;0;-0.6068;c;0002-07-21T00:00:00Z;sin comentario;1;14.063;12-12-2017 2:01;1
60;99;FRE;Z;20171212_020316.482 ;FREZ12-12-2017_02:03:12.513;1;2021-07-04 23:27:24.498 ;4Testing;2017-12-12T02:03:16.482Z;2017-12-12T02:03:16.472Z;0;0;0;-0.05076;c;0002-07-21T00:00:00Z;sin comentario;1;36.205;12-12-2017 2:03;1
61;99;FRE;Z;20171212_020818.264 ;FREZ12-12-2017_02:07:57.807;1;2021-07-04 23:27:24.498 ;4Testing;2017-12-12T02:08:18.264Z;2017-12-12T02:07:58.671Z;0;0;0;-0.23158;c;0002-07-21T00:00:00Z;sin comentario;1;127.865;12-12-2017 2:08;1
62;99;SHG;Z;20171212_020854.319 ;SHGZ12-12-2017_02:07:58.197;1;2021-07-04 23:27:24.499 ;4Testing;2017-12-12T02:08:54.319Z;2017-12-12T02:07:59.511Z;0;0;0;-0.9347;c;0002-07-21T00:00:00Z;sin comentario;1;27.388;12-12-2017 2:08;1
63;99;FRE;Z;20171212_020909.279 ;FREZ12-12-2017_02:08:14.857;1;2021-07-04 23:27:24.500 ;4Testing;2017-12-12T02:09:09.279Z;2017-12-12T02:08:18.182Z;0;0;0;-110348;c;0002-07-21T00:00:00Z;sin comentario;1;21.252;12-12-2017 2:08;1
64;99;FU2;Z;20171212_021022.335 ;FU2Z12-12-2017_02:09:55.905;1;2021-07-04 23:27:24.501 ;4Testing;2017-12-12T02:10:22.335Z;2017-12-12T02:09:59.552Z;0;0;0;-33179;c;0002-07-21T00:00:00Z;sin comentario;1;1.288;12-12-2017 2:10;1
65;99;NBL;Z;20171212_021152.282 ;NBLZ12-12-2017_02:11:48.233;1;2021-07-04 23:27:24.501 ;4Testing;2017-12-12T02:11:52.282Z;2017-12-12T02:11:51.812Z;0;0;0;34335;c;0002-07-21T00:00:00Z;sin comentario;1;24.054;12-12-2017 2:11;1
66;99;FU2;Z;20171212_021314.976 ;FU2Z12-12-2017_02:12:40.622;1;2021-07-04 23:27:24.502 ;4Testing;2017-12-12T02:13:14.976Z;2017-12-12T02:12:40.881Z;0;0;0;-38772;c;0002-07-21T00:00:00Z;sin comentario;1;88.254;12-12-2017 2:12;1
67;99;FU2;Z;20171212_021314.976 ;FU2Z12-12-2017_02:12:55.971;1;2021-07-04 23:27:24.503 ;4Testing;2017-12-12T02:13:14.984Z;2017-12-12T02:12:54.251Z;0;0;0;-72864;c;0002-07-21T00:00:00Z;sin comentario;1;53.089;12-12-2017 2:13;1
68;99;FU2;Z;20171212_021553.572 ;FU2Z12-12-2017_02:15:49.458;1;2021-07-04 23:27:24.504 ;4Testing;2017-12-12T02:15:53.572Z;2017-12-12T02:15:53.242Z;0;0;0;-0.56159;c;0002-07-21T00:00:00Z;sin comentario;1;2.599;12-12-2017 2:15;1
69;99;SHG;Z;20171212_022545.552 ;SHGZ12-12-2017_02:25:44.566;1;2021-07-04 23:27:24.505 ;4Testing;2017-12-12T02:25:45.552Z;2017-12-12T02:25:47.962Z;0;0;0;68087;c;0002-07-21T00:00:00Z;sin comentario;1;27.097;12-12-2017 2:25;1
70;99;FRE;Z;20171212_022545.552 ;FREZ12-12-2017_02:25:42.796;1;2021-07-04 23:27:24.505 ;4Testing;2017-12-12T02:25:46.032Z;2017-12-12T02:25:46.712Z;0;0;0;155254;c;0002-07-21T00:00:00Z;sin comentario;1;26.314;12-12-2017 2:25;1
71;99;FU2;Z;20171212_022756.867 ;FU2Z12-12-2017_02:27:18.174;1;2021-07-04 23:27:24.506 ;4Testing;2017-12-12T02:27:56.867Z;2017-12-12T02:27:21.812Z;0;0;0;-128655;c;0002-07-21T00:00:00Z;sin comentario;1;16.358;12-12-2017 2:27;1
72;99;FU2;Z;20171212_024153.327 ;FU2Z12-12-2017_02:41:13.698;1;2021-07-04 23:27:24.507 ;4Testing;2017-12-12T02:41:53.327Z;2017-12-12T02:41:53.077Z;0;0;0;-24486;c;0002-07-21T00:00:00Z;sin comentario;1;47.857;12-12-2017 2:41;1
73;99;FU2;Z;20171212_024153.327 ;FU2Z12-12-2017_02:41:49.337;1;2021-07-04 23:27:24.508 ;4Testing;2017-12-12T02:41:53.502Z;2017-12-12T02:41:53.072Z;0;0;0;-0.96586;c;0002-07-21T00:00:00Z;sin comentario;1;47.853;12-12-2017 2:41;1
74;99;FU2;Z;20171212_024255.286 ;FU2Z12-12-2017_02:42:18.236;1;2021-07-04 23:27:24.509 ;4Testing;2017-12-12T02:42:55.286Z;2017-12-12T02:42:21.832Z;0;0;0;-44977;c;0002-07-21T00:00:00Z;sin comentario;1;11.135;12-12-2017 2:42;1
75;99;NBL;Z;20171212_024409.482 ;NBLZ12-12-2017_02:44:06.294;1;2021-07-04 23:27:24.510 ;4Testing;2017-12-12T02:44:09.482Z;2017-12-12T02:44:05.831Z;0;0;0;-10906;c;0002-07-21T00:00:00Z;sin comentario;1;41.153;12-12-2017 2:44;1
76;99;FRE;Z;20171212_025747.274 ;FREZ12-12-2017_02:57:25.818;1;2021-07-04 23:27:24.511 ;4Testing;2017-12-12T02:57:47.274Z;2017-12-12T02:57:49.705Z;0;0;0;-0.54349;c;0002-07-21T00:00:00Z;sin comentario;1;119.274;12-12-2017 2:58;1
77;99;SHG;Z;20171212_025747.274 ;SHGZ12-12-2017_02:57:30.148;1;2021-07-04 23:27:24.511 ;4Testing;2017-12-12T02:57:47.864Z;2017-12-12T02:57:41.073Z;0;0;0;-41832;c;0002-07-21T00:00:00Z;sin comentario;1;27.465;12-12-2017 2:58;1
78;99;FRE;Z;20171212_032313.042 ;FREZ12-12-2017_03:23:09.478;1;2021-07-04 23:27:24.512 ;4Testing;2017-12-12T03:23:13.042Z;2017-12-12T03:23:13.892Z;0;0;0;65139;c;0002-07-21T00:00:00Z;sin comentario;1;37.922;12-12-2017 3:23;1
79;99;SHG;Z;20171212_032351.377 ;SHGZ12-12-2017_03:23:13.668;1;2021-07-04 23:27:24.513 ;4Testing;2017-12-12T03:23:51.377Z;2017-12-12T03:23:59.448Z;0;0;0;-19233;c;0002-07-21T00:00:00Z;sin comentario;1;33.895;12-12-2017 3:23;1
80;99;FRE;Z;20171212_032455.984 ;FREZ12-12-2017_03:24:38.456;1;2021-07-04 23:27:24.514 ;4Testing;2017-12-12T03:24:55.984Z;2017-12-12T03:24:47.673Z;0;0;0;-0.63158;c;0002-07-21T00:00:00Z;sin comentario;1;97.069;12-12-2017 3:24;1
81;99;FRE;Z;20171212_032650.969 ;FREZ12-12-2017_03:25:54.234;1;2021-07-04 23:27:24.515 ;4Testing;2017-12-12T03:26:50.969Z;2017-12-12T03:26:09.043Z;0;0;0;-0.72508;c;0002-07-21T00:00:00Z;sin comentario;1;33.451;12-12-2017 3:26;1
82;99;FU2;Z;20171212_032829.238 ;FU2Z12-12-2017_03:27:44.682;1;2021-07-04 23:27:24.515 ;4Testing;2017-12-12T03:28:29.238Z;2017-12-12T03:27:53.033Z;0;0;0;-138525;c;0002-07-21T00:00:00Z;sin comentario;1;20.161;12-12-2017 3:27;1
83;99;FU2;Z;20171212_032933.968 ;FU2Z12-12-2017_03:28:44.941;1;2021-07-04 23:27:24.517 ;4Testing;2017-12-12T03:29:33.968Z;2017-12-12T03:29:04.144Z;0;0;0;-25072;c;0002-07-21T00:00:00Z;sin comentario;1;12.914;12-12-2017 3:28;1
84;99;FU2;Z;20171212_033104.382 ;FU2Z12-12-2017_03:31:00.158;1;2021-07-04 23:27:24.518 ;4Testing;2017-12-12T03:31:04.382Z;2017-12-12T03:31:03.952Z;0;0;0;-18617;c;0002-07-21T00:00:00Z;sin comentario;1;100.464;12-12-2017 3:31;1
85;99;FU2;Z;20171212_033204.484 ;FU2Z12-12-2017_03:31:48.707;1;2021-07-04 23:27:24.519 ;4Testing;2017-12-12T03:32:04.484Z;2017-12-12T03:31:49.361Z;0;0;0;-0.15455;c;0002-07-21T00:00:00Z;sin comentario;1;208.315;12-12-2017 3:32;1
86;99;FU2;Z;20171212_033331.232 ;FU2Z12-12-2017_03:33:27.015;1;2021-07-04 23:27:24.520 ;4Testing;2017-12-12T03:33:31.232Z;2017-12-12T03:33:30.802Z;0;0;0;-44199;c;0002-07-21T00:00:00Z;sin comentario;1;27.773;12-12-2017 3:33;1
